"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1113985715938","24.5478855856221","24.155247670413","23.9068320543131","23.7535970090505","23.7215693147289","24.0587547014915","24.7882414564582","25.6517411043972","26.4014914483339","26.783512771668","26.8099256476532","26.718090843669","26.5806027577654","26.4752075303282","26.481074204187","26.6344693132689","26.9060828802191","27.2748902256712","27.7160223399542","28.1950673870572","29.4494715393378","29.9084407978715","29.0705818904145","27.779344075003","29.515467569718","28.8772739849101","27.3113771648908","27.4042948742715","26.2482004644559","26.7556863585895","","","","",
"Afghanistan","AFG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1740966333107","64.1881530060926","64.2105258245459","64.2441407602245","64.2919234846825","64.3567996694738","64.4759923667356","64.6415192006464","64.7884977008217","64.8520453968767","64.767279818427","64.5975727246894","64.4168880125936","64.1762314183241","63.8266086780653","63.3190255280017","61.5146494273075","58.0837850174423","54.1911438080183","51.0014373086482","49.6793770289443","61.8170559083924","70.9223165078033","73.1318159038053","77.1437275538632","73.4908176326415","72.7659101386992","65.8623470043896","67.2271774798558","58.3308722306744","46.0870936659706","","","","",
"Africa Western and Central","AFW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2406837114708","58.5145529675555","57.2433446424282","56.4028115335139","55.9477410370688","55.8166732406229","56.5175317788383","58.1740645638081","60.1553469447379","61.838340425107","62.5676107684837","61.7683094551825","59.7681749468297","57.25734182781","54.9230242352674","53.4498164500101","52.6239038658247","51.8295023993579","51.1532336687912","50.6863069032939","50.5078925657566","54.1897202970347","58.2132168038412","46.9592693464717","47.135125448666","71.2950510903224","62.8941317032516","60.3446180405013","56.0999508285847","50.7719620968246","54.8918200968729","","","","",
"Angola","AGO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8317672842136","23.4439674510016","23.1294635123983","22.895328552451","22.7486356552068","22.6964579047131","22.7599536132442","22.9225353766858","23.1346577045015","23.3467751061551","23.5093420911103","23.6526821946051","23.8200090775863","23.9811124380809","24.1057819741159","24.1638073837181","24.1729316066879","24.1741901310537","24.1723114771848","24.1720241654505","24.17805671622","24.337940171596","24.4804929012722","24.5386584342125","23.9455836380328","25.0021502571501","25.1807008149163","23.9591508117097","24.2650153621146","24.5988113283925","25.1452381976267","","","","",
"Albania","ALB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9615792759282","22.7031104857198","22.4828963984711","22.2971318768254","22.1420117834263","22.0137309809171","21.9518831290172","21.9776011720555","22.0593888995897","22.1657501011774","22.2651885663762","22.3660062096811","22.4827851202514","22.5934493496412","22.6759229494045","22.7081299710953","22.5109695957413","22.0412299650015","21.4806685713767","21.0110429073679","20.8141104654758","22.7999042481871","20.9627204112539","19.4075322522058","19.3679442180935","19.121557306579","17.602163992984","18.5552438171978","19.0461862321065","15.70470712234","15.7070036417042","","","","",
"Andorra","AND","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8271851125526","16.457868827636","16.1439805824218","15.8873977587833","15.6899977385935","15.5536579037255","15.5722833198847","15.7624725287727","16.0101431262568","16.2012127082044","16.2215988704827","16.0398963763555","15.7322043920316","15.3456971177959","14.9275487539332","14.5249335007286","14.0587152187082","13.4952355101681","12.9498851880477","12.5380550652865","12.375135954824","13.4732948489243","12.2593146393596","11.2698563251216","10.4359992732348","11.1088936507291","10.1068248002358","10.0219190390452","9.89580638748632","9.01087465277866","9.08028059086901","","","","",
"Arab World","ARB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3157074819194","40.4983139010838","40.7738273424483","41.0010833986388","41.1852718843076","41.3311805924962","41.5884161152436","42.0622670349024","42.6327330214285","43.1603230731861","43.5064056239944","43.6536472716321","43.7198230305847","43.7698409514128","43.8689514275119","44.0974956894118","44.796400588742","46.0038638098232","47.3740759399264","48.5297435133064","49.0223476394788","45.2814803173503","46.514486364313","47.4377022279819","42.8708744761544","47.8180208835518","44.5857989598965","44.2491913615177","46.3463472893316","44.547409419695","39.7132146879838","","","","",
"United Arab Emirates","ARE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2966114111942","44.2073423507993","44.1327883015017","44.0760925691775","44.0403984597028","44.0288492789537","44.0447166630852","44.0807781273691","44.1244357963569","44.1630917945999","44.1841482466495","44.1897103666173","44.1860960517829","44.1670264514498","44.1262227149214","44.0574059915013","43.8330832135241","43.4209615076897","42.9575623148493","42.5794070758541","42.4230172315555","46.4897172925459","49.8585704896572","43.6717315179427","38.4444708976302","48.347575903809","43.0819708202795","44.2485056396036","45.9879061419392","41.955626323257","36.3055030826594","","","","",
"Argentina","ARG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9601696021105","19.0130305215929","19.0186999165937","18.9831793900266","18.9124705448052","18.8125749838432","18.6337466004746","18.3556143551834","18.0282424516081","17.7016950933875","17.42603648416","17.183873772998","16.9235142685328","16.6435724137411","16.3426626515998","16.0193994250859","15.5877675221277","15.0427292384364","14.5043652786628","14.0927563474575","13.9279831494715","14.2389306717038","13.3571618542264","14.7643699932772","13.9500593062949","14.6245514656634","14.2700594540808","13.9690174802422","14.1850800443346","14.3996238920365","14.9081737974407","","","","",
